MUNI,Pop2020,Pop2010
Stoughton,29281,26962
Stow,7174,6590
Sturbridge,9867,9268
Sudbury,18934,17659
Sunderland,3663,3684
Sutton,9357,8963
Swampscott,15111,13787
Swansea,17144,15865
Taunton,59408,55874
Templeton,8149,8013
Tewksbury,31342,28961
Tisbury,4815,3949
Tolland,471,485
Topsfield,6569,6085
Townsend,9127,8926
Truro,2454,2003
Tyngsborough,12380,11292
Tyringham,427,327
Upton,8000,7542
Uxbridge,14162,13457
Wakefield,27090,24932
Wales,1832,1838
Walpole,26383,24070
Waltham,65218,60632
Ware,10066,9872
Wareham,23303,21822
Warren,4975,5135
Warwick,780,780
Washington,494,538
Watertown,35329,31915
Wayland,13943,12994
Webster,17776,16767
Wellesley,29550,27982
Wellfleet,3566,2750
Wendell,924,848
Wenham,4979,4875
West Boylston,7877,7669
West Bridgewater,7707,6916
West Brookfield,3833,3701
West Newbury,4500,4235
West Springfield,28835,28391
West Stockbridge,1343,1306
West Tisbury,3555,2740
Westborough,21567,18272
Westfield,40834,41094
Westford,24643,21951
Westhampton,1622,1607
Westminster,8213,7277
Weston,11851,11261
Westport,16339,15532
Westwood,16266,14618
Weymouth,57437,53743
Whately,1607,1496
Whitman,15121,14489
Wilbraham,14613,14219
Williamsburg,2504,2482
Williamstown,7513,7754
Wilmington,23349,22325
Winchendon,10364,10300
Winchester,22970,21374
Windsor,831,899
Winthrop,19316,17497
Woburn,40876,38120
Worcester,206518,181045
Worthington,1193,1156
Wrentham,12178,10955
Yarmouth,25023,23793
