MUNI,SchoolName,Subject,Exceeds,Meets,Partial,Fail,Total,AvgScore
Dedham,Dedham - Dedham High,BIO,16,71,69,12,168,502
Dennis,Dennis-Yarmouth - Dennis-Yarmouth Regional High,BIO,4,40,55,20,119,492
Yarmouth,Dennis-Yarmouth - Dennis-Yarmouth Regional High,BIO,4,40,55,20,119,492
Dennis,Dennis-Yarmouth - Dennis-Yarmouth Regional High,PHY,0,12,22,1,35,495
Yarmouth,Dennis-Yarmouth - Dennis-Yarmouth Regional High,PHY,0,12,22,1,35,495
Dennis,Dighton-Rehoboth - Dighton-Rehoboth Regional High School,BIO,12,76,50,13,151,502
Yarmouth,Dighton-Rehoboth - Dighton-Rehoboth Regional High School,BIO,12,76,50,13,151,502
Douglas,Douglas - Douglas High School,BIO,7,37,23,4,71,505
Dover,Dover-Sherborn - Dover-Sherborn Regional High,BIO,61,97,21,1,180,523
Sherborn,Dover-Sherborn - Dover-Sherborn Regional High,BIO,61,97,21,1,180,523
Dracut,Dracut - Dracut Senior High,BIO,11,75,103,21,210,496
Dudley,Dudley-Charlton Reg - Shepherd Hill Regional High,BIO,22,97,46,3,168,511
Charlton,Dudley-Charlton Reg - Shepherd Hill Regional High,BIO,22,97,46,3,168,511
Dudley,Dudley-Charlton Reg - Shepherd Hill Regional High,PHY,0,3,65,18,86,478
Charlton,Dudley-Charlton Reg - Shepherd Hill Regional High,PHY,0,3,65,18,86,478
Duxbury,Duxbury - Duxbury High,BIO,33,127,59,6,225,511
East Bridgewater,East Bridgewater - East Bridgewater JR./SR. High School,BIO,6,50,67,14,137,496
East Longmeadow,East Longmeadow - East Longmeadow High,BIO,34,108,53,10,205,510
Easthampton,Easthampton - Easthampton High,BIO,3,25,24,2,54,501
Easthampton,Easthampton - Easthampton High,PHY,5,9,4,0,18,513
Easton,Easton - Oliver Ames High,PHY,23,121,85,8,237,505
Everett,Everett - Everett High,BIO,10,104,196,128,438,484
Everett,Everett - Everett High,PHY,0,12,19,1,32,495
Fairhaven,Fairhaven - Fairhaven High,BIO,6,52,75,17,150,494
Fall River,Fall River - B M C Durfee High,BIO,17,93,238,238,586,480
Fall River,Fall River - B M C Durfee High,PHY,0,0,0,10,10,452
Fall River,Fall River - Resiliency Preparatory Academy,BIO,0,0,1,12,13,457
Fall River,Fall River - Stone PK-12 School,PHY,0,0,4,7,11,466
Falmouth,Falmouth - Falmouth High,BIO,12,59,63,25,159,496
Fitchburg,Fitchburg - Fitchburg High,BIO,3,40,120,100,263,479
Foxborough,Foxborough - Foxborough High,BIO,27,102,57,9,195,508
Framingham,Framingham - Framingham High School,BIO,38,178,174,213,603,487
Franklin,Franklin - Franklin High,BIO,89,190,87,12,378,514
Freetown,Freetown-Lakeville - Apponequet Regional High,BIO,28,88,40,8,164,512
Lakeville,Freetown-Lakeville - Apponequet Regional High,BIO,28,88,40,8,164,512
Gardner,Gardner - Gardner High,BIO,1,35,70,40,146,483
Georgetown,Georgetown - Georgetown High School,BIO,3,22,26,5,56,498
Gill,Gill-Montague - Turners Fall High,BIO,0,1,11,5,17,481
Montague,Gill-Montague - Turners Fall High,BIO,0,1,11,5,17,481
Gloucester,Gloucester - Gloucester High,BIO,17,47,55,26,145,495
Grafton,Grafton - Grafton High School,BIO,15,94,85,10,204,503
Granby,Granby - Granby Jr Sr High School,BIO,0,23,22,1,46,501
Greenfield,Greenfield - Greenfield High,PHY,5,12,32,22,71,485
Groton,Groton-Dunstable - Groton Dunstable Regional,BIO,36,77,27,2,142,516
Dunstable,Groton-Dunstable - Groton Dunstable Regional,BIO,36,77,27,2,142,516
Hadley,Hadley - Hopkins Academy,PHY,6,16,8,0,30,517
Hamilton,Hamilton-Wenham - Hamilton-Wenham Regional High,BIO,22,50,30,2,104,512
Wenham,Hamilton-Wenham - Hamilton-Wenham Regional High,BIO,22,50,30,2,104,512
Hampden,Hampden-Wilbraham - Minnechaug Regional High,BIO,8,48,38,10,104,503
Wilbraham,Hampden-Wilbraham - Minnechaug Regional High,BIO,8,48,38,10,104,503
Hanover,Hanover - Hanover High,BIO,28,73,45,2,148,511
Harvard,Harvard - The Bromfield High School,BIO,24,33,13,2,72,518
Harvard,Harvard - The Bromfield High School,PHY,34,41,5,3,83,526
Hatfield,Hatfield - Smith Academy,BIO,0,14,7,0,21,504
Haverhill,Haverhill - Haverhill High,BIO,17,111,181,118,427,488
Hingham,Hingham - Hingham High,BIO,67,129,65,7,268,514
Holbrook,Holbrook - Holbrook Middle High School,PHY,3,23,24,11,61,491
Holliston,Holliston - Holliston High,BIO,19,46,18,5,88,515
Holyoke,Holyoke - Holyoke High,BIO,7,60,141,118,326,480
Hopedale,Hopedale - Hopedale Jr Sr High,BIO,3,26,16,2,47,504
Hopedale,Hopedale - Hopedale Jr Sr High,PHY,0,3,7,5,15,485
Hopkinton,Hopkinton - Hopkinton High,BIO,122,141,43,8,314,523
Hudson,Hudson - Hudson High,BIO,11,62,48,28,149,497
Hull,Hull - Hull High,PHY,8,23,22,8,61,501
Ipswich,Ipswich - Ipswich High,BIO,17,55,31,9,112,507
Lawrence,Lawrence - Lawrence High School,BIO,2,39,285,311,637,472
Lawrence,Lawrence - Lawrence High School,PHY,7,52,34,1,94,506
Lawrence,Lawrence - School for Exceptional Studies,BIO,0,0,2,8,10,468
Lee,Lee - Lee Middle/High School,BIO,1,21,16,0,38,503
Leicester,Leicester - Leicester High,BIO,8,46,44,14,112,497
Lenox,Lenox - Lenox Memorial High,BIO,1,23,17,2,43,506
Lenox,Lenox - Lenox Memorial High,PHY,13,6,0,0,19,533
Leominster,Leominster - Center For Technical Education Innovation,BIO,13,88,130,37,268,493
Leominster,Leominster - Leominster Center for Excellence,BIO,0,4,7,1,12,493
Leominster,Leominster - Leominster High School,BIO,15,60,44,9,128,505
Lexington,Lexington - Lexington High,BIO,297,225,51,3,576,529
